년,월,일,요일,휴일여부,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),합계 일사(MJ/m2),최대전력(MW)
2006,8,24,4,0,27,23.7,30.7,1.5,67.9,24.2,11.11,56659
2006,8,25,5,0,25.1,23.3,29,1.6,81.3,26.2,5.66,55853
2006,8,26,6,1,25.2,22.8,31.3,2.4,83,26.6,13.58,50038
2006,8,27,7,1,24.2,23,25.7,2.3,87.8,26.9,3.77,43742
2006,8,28,1,0,25.4,22.8,29.6,2.2,74.3,24.1,19.25,54707
2006,8,29,2,0,23.7,22.2,25.8,1.4,84.3,25.1,4.7,53821
2006,8,30,3,0,25.2,21.6,29.5,3,63.1,20.3,16.72,52076
2006,8,31,4,0,25.2,22.7,29.5,3.1,55,17.9,17.14,52399
2006,9,1,5,0,24.2,19.5,28.8,2.5,53.8,16.3,19.27,51674
2006,9,2,6,1,25.6,21,30.3,2.1,57.8,18.9,20.13,47149
2006,9,3,7,1,25.5,21.5,30.2,2.2,63.3,20.4,18.13,42369
2006,9,4,1,0,21.4,17.7,25.1,2.5,71.9,18.8,8.72,51744
2006,9,5,2,0,21.1,16.2,26.3,2.7,59.9,14.8,21,48863
2006,9,6,3,0,19.8,15.8,25.2,1.9,69,15.8,16.16,47912
2006,9,7,4,0,22,15.8,28.1,1.6,54.6,13.7,22.27,48666
2006,9,8,5,0,22,18.7,25.7,2.7,59.6,16.1,10.41,48718
2006,9,9,6,1,17.2,13.6,22.1,2.4,80.8,16.4,3.31,44387
2006,9,10,7,1,15.8,12.6,20.1,2.1,50.5,8.9,21.07,39595
2006,9,11,1,0,16.5,11.3,21.3,1.4,59.9,11.3,13.32,46858
2006,9,12,2,0,19.9,13.6,25.2,2,58.5,13.3,20.19,47826
2006,9,13,3,0,21.8,17,27.2,2.3,47.5,12.2,21.66,47760
2006,9,14,4,0,21.5,16.2,27,2.4,45.5,11.4,18.49,48193
2006,9,15,5,0,20.8,17.7,24.5,3,55.1,13.9,11.22,47600
2006,9,16,6,1,21.6,19.2,24.7,2.5,62.4,16.3,8.86,43151
2006,9,17,7,1,20.2,16.8,22.8,3.5,53.9,12.7,6.84,39688
2006,9,18,1,0,18.2,16.3,20,1.8,67.9,14.3,3,46980
2006,9,19,2,0,20.2,14.1,26.1,1.7,72.6,17.3,14,48500
2006,9,20,3,0,22.1,17.8,26.7,1.8,64.6,16.9,12.28,47810
2006,9,21,4,0,23.5,19.1,28.6,1.7,52.5,15,16.64,49008
2006,9,22,5,0,22.9,18.6,27.7,2.1,61.3,17,15.93,48835
2006,9,23,6,1,21.5,17.1,26.6,2.3,46.5,11.6,20.05,43395
2006,9,24,7,1,21.2,15.3,26.8,1.9,43.5,10.8,19.11,40233
2006,9,25,1,0,20.9,16,26.7,1.6,43.8,10.4,15.31,48333
2006,9,26,2,0,21.6,17.8,27.1,1.7,49.1,12.5,13.77,48468
2006,9,27,3,0,22,18.7,27.2,2,51.6,13.5,16.26,48401
2006,9,28,4,0,20.5,18.1,23.1,1.9,70.6,17.3,5.7,48773
2006,9,29,5,0,20.7,17.3,25.6,1.8,60.9,14.6,16.16,47725
2006,9,30,6,1,20.7,16.2,25.5,2,52.9,12.8,14.99,43453
2006,10,1,7,1,20.7,17.7,25.3,1.8,52.3,12.7,11.95,41396
2006,10,2,1,0,20.7,15.3,26.3,1.8,55.8,13.4,16.29,46204
2006,10,3,2,1,20.6,15.1,26.3,1.7,57.1,13.6,16.15,43018
2006,10,4,3,0,21.6,15.6,27.5,1.5,54.3,13.8,14.79,39944
2006,10,5,4,1,21.4,16.3,27.2,3.1,47.4,12,16.56,34557
2006,10,6,5,1,21.1,16.2,26.7,2,40.6,9.9,17.74,31589
2006,10,7,6,1,20.3,14.5,25.7,1.9,54.8,13.1,16.24,34247
2006,10,8,7,1,19.7,15.8,23.7,1.5,73.9,17.1,9.42,36954
2006,10,9,1,0,20.1,17,23.6,2,78.4,18.8,4.75,46515
2006,10,10,2,0,20.9,18.7,25.7,2.9,69.4,17.1,13.93,48071
2006,10,11,3,0,19.3,15,23.6,2.6,60.9,14,5.72,47502
2006,10,12,4,0,16.4,10.6,22.5,1.7,43,7.6,16.95,47967
2006,10,13,5,0,17.9,12,24.2,1.7,48.5,9.8,15.46,47578
2006,10,14,6,1,18.5,14,24.2,2.1,59.9,12.5,13.43,43272
2006,10,15,7,1,18.9,14.3,24.1,1.4,69.8,15.3,11.56,40654
2006,10,16,1,0,19.7,15.6,25.6,2,69.3,15.7,10.98,48175
2006,10,17,2,0,18.9,16,21.7,1.5,75.9,16.8,4.17,49033
2006,10,18,3,0,19.4,16.7,23.2,1.8,75.1,17.1,8.52,48372
2006,10,19,4,0,19.5,17.7,21.8,2.1,76.8,17.7,5.24,48982
2006,10,20,5,0,19.1,16,23.5,1.6,72.6,16.1,8.62,48083
2006,10,21,6,1,18.7,14.8,24,2,63.8,13.8,12,43245
2006,10,22,7,1,16.5,15.1,18.7,2.1,83.6,15.9,2.3,41055
2006,10,23,1,0,12,10.5,15.6,3.9,63.8,9.1,6.41,47284
2006,10,24,2,0,13.2,9.5,18.3,2.7,52.9,7.9,14.94,47274
